"section","keyword","count"
"http://essi-lod.org/instances/Section_FM_2009_IN","Visualization and portrayal","29"
"http://essi-lod.org/instances/Section_FM_2008_IN","Geographic Information Systems","28"
"http://essi-lod.org/instances/Section_FM_2008_IN","New fields","28"
"http://essi-lod.org/instances/Section_FM_2010_IN","General or miscellaneous","28"
"http://essi-lod.org/instances/Section_FM_2007_IN","New fields","27"
"http://essi-lod.org/instances/Section_FM_2005_IN","Data analysis: algorithms and implementation","27"
"http://essi-lod.org/instances/Section_FM_2009_IN","Web Services","27"
"http://essi-lod.org/instances/Section_FM_2009_IN","GIS science","26"
"http://essi-lod.org/instances/Section_FM_2010_IN","Geospatial","26"
"http://essi-lod.org/instances/Section_FM_2007_IN","Data analysis: algorithms and implementation","25"
"http://essi-lod.org/instances/Section_FM_2008_IN","Ocean observing systems","24"
"http://essi-lod.org/instances/Section_FM_2010_IN","Portals and user interfaces","24"
"http://essi-lod.org/instances/Section_FM_2009_IN","Community standards","23"
"http://essi-lod.org/instances/Section_FM_2009_IN","Semantic web and semantic integration","23"
"http://essi-lod.org/instances/Section_FM_2010_IN","Community standards","22"
"http://essi-lod.org/instances/Section_FM_2010_IN","GIS science","22"
"http://essi-lod.org/instances/Section_FM_2010_IN","Visualization and portrayal","22"
"http://essi-lod.org/instances/Section_FM_2010_IN","Instruments and techniques","22"
"http://essi-lod.org/instances/Section_FM_2009_IN","Real-time and responsive information delivery","21"
"http://essi-lod.org/instances/Section_FM_2010_IN","Emerging informatics technologies","21"
"http://essi-lod.org/instances/Section_FM_2010_IN","INFORMATICS","20"
"http://essi-lod.org/instances/Section_FM_2007_IN","Modeling","19"
"http://essi-lod.org/instances/Section_FM_2005_IN","Modeling","19"
"http://essi-lod.org/instances/Section_FM_2009_IN","Metadata","19"
"http://essi-lod.org/instances/Section_FM_2010_IN","Workflow","19"
"http://essi-lod.org/instances/Section_FM_2010_IN","Ontologies","19"
"http://essi-lod.org/instances/Section_FM_2010_IN","Sensor web","19"
"http://essi-lod.org/instances/Section_FM_2009_IN","Community modeling frameworks","18"
"http://essi-lod.org/instances/Section_SM_2006_IN","Remote sensing","18"
"http://essi-lod.org/instances/Section_FM_2009_IN","Emerging informatics technologies","17"
"http://essi-lod.org/instances/Section_FM_2009_IN","Modeling","17"
"http://essi-lod.org/instances/Section_FM_2010_IN","Standards","17"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data and information governance","17"
"http://essi-lod.org/instances/Section_SM_2006_IN","General or miscellaneous","17"
"http://essi-lod.org/instances/Section_FM_2007_IN","Data sets","16"
"http://essi-lod.org/instances/Section_FM_2005_IN","Ocean observing systems","16"
"http://essi-lod.org/instances/Section_FM_2010_IN","Metadata: Provenance","16"
"http://essi-lod.org/instances/Section_FM_2010_IN","Software re-use","16"
"http://essi-lod.org/instances/Section_FM_2010_IN","High-performance computing","16"
"http://essi-lod.org/instances/Section_SM_2006_IN","Techniques applicable in three or more fields","16"
"http://essi-lod.org/instances/Section_SM_2007_IN","Data management","15"
"http://essi-lod.org/instances/Section_FM_2009_IN","Portals and user interfaces","15"
"http://essi-lod.org/instances/Section_FM_2008_IN","Data sets","15"
"http://essi-lod.org/instances/Section_FM_2010_IN","Metadata","15"
"http://essi-lod.org/instances/Section_FM_2007_IN","Instruments useful in three or more fields","14"
"http://essi-lod.org/instances/Section_SM_2007_IN","Data presentation and visualization","14"
"http://essi-lod.org/instances/Section_FM_2005_IN","GENERAL OR MISCELLANEOUS","14"
"http://essi-lod.org/instances/Section_FM_2009_IN","Computational models, algorithms","14"
"http://essi-lod.org/instances/Section_FM_2010_IN","Uncertainty","14"
"http://essi-lod.org/instances/Section_FM_2006_IN","Computational methods and data processing","14"
"http://essi-lod.org/instances/Section_FM_2006_IN","Image processing","14"
"http://essi-lod.org/instances/Section_SM_2006_IN","Instruments and techniques","14"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data and information governance","13"
"http://essi-lod.org/instances/Section_FM_2008_IN","Computational methods and data processing","13"
"http://essi-lod.org/instances/Section_FM_2008_IN","Image processing","13"
"http://essi-lod.org/instances/Section_FM_2008_IN","System design","13"
"http://essi-lod.org/instances/Section_FM_2010_IN","Semantic web and semantic integration","13"
"http://essi-lod.org/instances/Section_FM_2010_IN","Virtual globes","13"
"http://essi-lod.org/instances/Section_FM_2010_IN","Social networks","13"
"http://essi-lod.org/instances/Section_FM_2006_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","13"
"http://essi-lod.org/instances/Section_FM_2006_IN","Modeling","13"
"http://essi-lod.org/instances/Section_SM_2006_IN","Data management","13"
"http://essi-lod.org/instances/Section_FM_2007_IN","Computational methods and data processing","12"
"http://essi-lod.org/instances/Section_FM_2007_IN","System design","12"
"http://essi-lod.org/instances/Section_SM_2007_IN","General or miscellaneous","12"
"http://essi-lod.org/instances/Section_FM_2009_IN","Spatial analysis and representation","12"
"http://essi-lod.org/instances/Section_FM_2009_IN","International collaboration","12"
"http://essi-lod.org/instances/Section_FM_2009_IN","Ontologies","12"
"http://essi-lod.org/instances/Section_FM_2008_IN","Aerosols and particles","12"
"http://essi-lod.org/instances/Section_FM_2010_IN","International collaboration","12"
"http://essi-lod.org/instances/Section_FM_2006_IN","Geographic Information Systems","12"
"http://essi-lod.org/instances/Section_FM_2006_IN","Data sets","12"
"http://essi-lod.org/instances/Section_FM_2006_IN","System design","12"
"http://essi-lod.org/instances/Section_FM_2007_IN","Instructional tools","11"
"http://essi-lod.org/instances/Section_SM_2007_IN","Data analysis: algorithms and implementation","11"
"http://essi-lod.org/instances/Section_FM_2005_IN","Instruments useful in three or more fields","11"
"http://essi-lod.org/instances/Section_FM_2005_IN","Science policy","11"
"http://essi-lod.org/instances/Section_FM_2009_IN","Ocean observing systems","11"
"http://essi-lod.org/instances/Section_FM_2008_IN","Instructional tools","11"
"http://essi-lod.org/instances/Section_FM_2008_IN","HYDROLOGY","11"
"http://essi-lod.org/instances/Section_SM_2008_IN","Data presentation and visualization","11"
"http://essi-lod.org/instances/Section_FM_2006_IN","Instruments useful in three or more fields","11"
"http://essi-lod.org/instances/Section_SM_2006_IN","New fields","11"
"http://essi-lod.org/instances/Section_FM_2007_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","10"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data analysis: algorithms and implementation","10"
"http://essi-lod.org/instances/Section_FM_2009_IN","Workflow","10"
"http://essi-lod.org/instances/Section_FM_2008_IN","GENERAL OR MISCELLANEOUS","10"
"http://essi-lod.org/instances/Section_FM_2008_IN","Earth system modeling","10"
"http://essi-lod.org/instances/Section_FM_2008_IN","Instruments useful in three or more fields","10"
"http://essi-lod.org/instances/Section_FM_2008_IN","Pollution: urban and regional","10"
"http://essi-lod.org/instances/Section_FM_2008_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","10"
"http://essi-lod.org/instances/Section_FM_2010_IN","Knowledge representation and knowledge bases","10"
"http://essi-lod.org/instances/Section_FM_2010_IN","Techniques applicable in three or more fields","10"
"http://essi-lod.org/instances/Section_FM_2006_IN","GLOBAL CHANGE","10"
"http://essi-lod.org/instances/Section_FM_2006_IN","COMPUTATIONAL GEOPHYSICS","10"
"http://essi-lod.org/instances/Section_SM_2009_IN","Instruments and techniques","10"
"http://essi-lod.org/instances/Section_SM_2009_IN","New fields","10"
"http://essi-lod.org/instances/Section_FM_2005_IN","System design","9"
"http://essi-lod.org/instances/Section_FM_2009_IN","Metadata: Provenance","9"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data mining","9"
"http://essi-lod.org/instances/Section_FM_2009_IN","Software re-use","9"
"http://essi-lod.org/instances/Section_FM_2009_IN","Standards","9"
"http://essi-lod.org/instances/Section_FM_2009_IN","Decision analysis","9"
"http://essi-lod.org/instances/Section_FM_2008_IN","Troposphere: composition and chemistry","9"
"http://essi-lod.org/instances/Section_FM_2010_IN","Computational models, algorithms","9"
"http://essi-lod.org/instances/Section_FM_2006_IN","Data assimilation","9"
"http://essi-lod.org/instances/Section_FM_2006_IN","Decision making under uncertainty","9"
"http://essi-lod.org/instances/Section_FM_2006_IN","Agricultural systems","9"
"http://essi-lod.org/instances/Section_SM_2009_IN","Data management","9"
"http://essi-lod.org/instances/Section_FM_2007_IN","Aerosols and particles","8"
"http://essi-lod.org/instances/Section_FM_2007_IN","Geographic Information Systems","8"
"http://essi-lod.org/instances/Section_FM_2007_IN","Ocean observing systems","8"
"http://essi-lod.org/instances/Section_FM_2005_IN","Computational methods and data processing","8"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data sets","8"
"http://essi-lod.org/instances/Section_FM_2009_IN","Sensor web","8"
"http://essi-lod.org/instances/Section_FM_2009_IN","High-performance computing","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","Watershed","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","Numerical modeling","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","CRYOSPHERE","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","Hardware solutions","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","Remote sensing and electromagnetic processes","8"
"http://essi-lod.org/instances/Section_FM_2008_IN","Climate variability","8"
"http://essi-lod.org/instances/Section_SM_2008_IN","Data management","8"
"http://essi-lod.org/instances/Section_SM_2008_IN","Techniques applicable in three or more fields","8"
"http://essi-lod.org/instances/Section_FM_2010_IN","Community modeling frameworks","8"
"http://essi-lod.org/instances/Section_FM_2006_IN","OCEANOGRAPHY: GENERAL","8"
"http://essi-lod.org/instances/Section_FM_2006_IN","Ocean observing systems","8"
"http://essi-lod.org/instances/Section_SM_2009_IN","Data presentation and visualization","8"
"http://essi-lod.org/instances/Section_FM_2007_IN","Instruments and techniques: monitoring","7"
"http://essi-lod.org/instances/Section_FM_2007_IN","System operation and management","7"
"http://essi-lod.org/instances/Section_FM_2007_IN","Image processing","7"
"http://essi-lod.org/instances/Section_FM_2007_IN","Computational hydrology","7"
"http://essi-lod.org/instances/Section_FM_2005_IN","Geographic Information Systems","7"
"http://essi-lod.org/instances/Section_FM_2005_IN","GLOBAL CHANGE","7"
"http://essi-lod.org/instances/Section_FM_2005_IN","Ecosystems, structure and dynamics","7"
"http://essi-lod.org/instances/Section_FM_2009_IN","INFORMATICS","7"
"http://essi-lod.org/instances/Section_FM_2009_IN","Climate variability","7"
"http://essi-lod.org/instances/Section_MA_2010_IN","Cyberinfrastructure","7"
"http://essi-lod.org/instances/Section_MA_2010_IN","Inverse theory","7"
"http://essi-lod.org/instances/Section_MA_2010_IN","Data assimilation, integration and fusion","7"
"http://essi-lod.org/instances/Section_FM_2008_IN","GLOBAL CHANGE","7"
"http://essi-lod.org/instances/Section_FM_2008_IN","Data processing","7"
"http://essi-lod.org/instances/Section_FM_2008_IN","Carbon cycling","7"
"http://essi-lod.org/instances/Section_FM_2010_IN","Earth system modeling","7"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data mining","7"
"http://essi-lod.org/instances/Section_FM_2010_IN","Aerosols and particles","7"
"http://essi-lod.org/instances/Section_FM_2010_IN","Spatial analysis and representation","7"
"http://essi-lod.org/instances/Section_FM_2006_IN","HYDROLOGY","7"
"http://essi-lod.org/instances/Section_FM_2006_IN","CRYOSPHERE","7"
"http://essi-lod.org/instances/Section_FM_2006_IN","System operation and management","7"
"http://essi-lod.org/instances/Section_FM_2006_IN","Earth system modeling","7"
"http://essi-lod.org/instances/Section_SM_2006_IN","GENERAL OR MISCELLANEOUS","7"
"http://essi-lod.org/instances/Section_SM_2009_IN","General or miscellaneous","7"
"http://essi-lod.org/instances/Section_SM_2009_IN","Techniques applicable in three or more fields","7"
"http://essi-lod.org/instances/Section_SM_2009_IN","Remote sensing","7"
"http://essi-lod.org/instances/Section_FM_2007_IN","Seismic instruments and networks","6"
"http://essi-lod.org/instances/Section_FM_2007_IN","Data assimilation","6"
"http://essi-lod.org/instances/Section_SM_2007_IN","Instruments and techniques","6"
"http://essi-lod.org/instances/Section_FM_2005_IN","Spatial analysis","6"
"http://essi-lod.org/instances/Section_FM_2005_IN","MATHEMATICAL GEOPHYSICS","6"
"http://essi-lod.org/instances/Section_FM_2009_IN","Scientific reasoning/inference","6"
"http://essi-lod.org/instances/Section_FM_2009_IN","Knowledge representation and knowledge bases","6"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data management","6"
"http://essi-lod.org/instances/Section_FM_2009_IN","Instructional tools","6"
"http://essi-lod.org/instances/Section_FM_2009_IN","Uncertainty","6"
"http://essi-lod.org/instances/Section_MA_2010_IN","Data and information discovery","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Model verification and validation","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","OCEANOGRAPHY: GENERAL","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","System operation and management","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Computational seismology","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Time series analysis","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Seismic instruments and networks","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Water cycles","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Troposphere: constituent transport and chemistry","6"
"http://essi-lod.org/instances/Section_FM_2008_IN","Ocean data assimilation and reanalysis","6"
"http://essi-lod.org/instances/Section_SM_2008_IN","New fields","6"
"http://essi-lod.org/instances/Section_FM_2010_IN","Metadata: Quality","6"
"http://essi-lod.org/instances/Section_FM_2010_IN","Ecosystems, structure and dynamics","6"
"http://essi-lod.org/instances/Section_FM_2010_IN","Numerical solutions","6"
"http://essi-lod.org/instances/Section_FM_2010_IN","Numerical algorithms","6"
"http://essi-lod.org/instances/Section_FM_2006_IN","Instructional tools","6"
"http://essi-lod.org/instances/Section_FM_2006_IN","Model verification and validation","6"
"http://essi-lod.org/instances/Section_FM_2006_IN","Glaciers","6"
"http://essi-lod.org/instances/Section_FM_2006_IN","GENERAL OR MISCELLANEOUS","6"
"http://essi-lod.org/instances/Section_FM_2006_IN","Numerical modeling","6"
"http://essi-lod.org/instances/Section_FM_2007_IN","Earth system modeling","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Global climate models","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","COMPUTATIONAL GEOPHYSICS","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Earthquake ground motions and engineering seismology","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Mesoscale meteorology","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Informal education","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","EDUCATION","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Volcano monitoring","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","Ocean data assimilation and reanalysis","5"
"http://essi-lod.org/instances/Section_SM_2007_IN","Techniques applicable in three or more fields","5"
"http://essi-lod.org/instances/Section_SM_2007_IN","New fields","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","Data sets","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","Precipitation","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","OCEANOGRAPHY: GENERAL","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","Instructional tools","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","Computational seismology","5"
"http://essi-lod.org/instances/Section_FM_2005_IN","MARINE GEOLOGY AND GEOPHYSICS","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Temporal analysis and representation","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Instruments useful in three or more fields","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Forecasting","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Data presentation and visualization","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Numerical algorithms","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Water management","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Land cover change","5"
"http://essi-lod.org/instances/Section_FM_2009_IN","Pressure, density, and temperature","5"
"http://essi-lod.org/instances/Section_MA_2010_IN","Software tools and services","5"
"http://essi-lod.org/instances/Section_MA_2010_IN","Web Services","5"
"http://essi-lod.org/instances/Section_MA_2010_IN","Numerical solutions","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","COMPUTATIONAL GEOPHYSICS","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Climate change and variability","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Science policy","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Regional climate change","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Neural networks, fuzzy logic, machine learning","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Arctic region","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Computational hydrology","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Ocean/atmosphere interactions","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Mesoscale meteorology","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Cloud/radiation interaction","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Monitoring networks","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","SEISMOLOGY","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Earthquake ground motions and engineering seismology","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Climate and interannual variability","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Glaciers","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Uncertainty quantification","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Seafloor morphology, geology, and geophysics","5"
"http://essi-lod.org/instances/Section_FM_2008_IN","Coastal processes","5"
"http://essi-lod.org/instances/Section_SM_2008_IN","Instruments and techniques","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Decision analysis","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data presentation and visualization","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data management","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Forecasting","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Machine learning","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Hardware solutions","5"
"http://essi-lod.org/instances/Section_FM_2010_IN","Uncertainty quantification","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","MARINE GEOLOGY AND GEOPHYSICS","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Computational seismology","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Seafloor morphology, geology, and geophysics","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Project evaluation","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Atmosphere","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Natural hazards","5"
"http://essi-lod.org/instances/Section_FM_2006_IN","Volcano monitoring","5"
"http://essi-lod.org/instances/Section_SM_2006_IN","Ocean observing systems","5"
"http://essi-lod.org/instances/Section_SM_2006_IN","Mars","5"
"http://essi-lod.org/instances/Section_SM_2006_IN","Data analysis: algorithms and implementation","5"
"http://essi-lod.org/instances/Section_SM_2006_IN","Regional modeling","5"
"http://essi-lod.org/instances/Section_SM_2006_IN","Data presentation and visualization","5"
"http://essi-lod.org/instances/Section_SM_2009_IN","Geographic Information Systems","5"
"http://essi-lod.org/instances/Section_SM_2009_IN","Geoscience education research","5"
"http://essi-lod.org/instances/Section_FM_2007_IN","MARINE GEOLOGY AND GEOPHYSICS","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","GLOBAL CHANGE","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Benefit-cost analysis","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Decision making under uncertainty","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Computational seismology","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Glaciers","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","OCEANOGRAPHY: GENERAL","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Post-secondary education","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","GEODESY AND GRAVITY","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Troposphere: composition and chemistry","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Precipitation","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Monitoring networks","4"
"http://essi-lod.org/instances/Section_FM_2007_IN","Remote sensing of volcanoes","4"
"http://essi-lod.org/instances/Section_SM_2007_IN","ATMOSPHERIC PROCESSES","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Instruments and techniques: monitoring","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Ocean optics","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Gravity anomalies and Earth structure","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Global climate models","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Agent-based models","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Neural networks, fuzzy logic, machine learning","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Earthquake ground motions and engineering seismology","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Image processing","4"
"http://essi-lod.org/instances/Section_FM_2005_IN","Wavelet transform","4"
"http://essi-lod.org/instances/Section_FM_2009_IN","Techniques applicable in three or more fields","4"
"http://essi-lod.org/instances/Section_FM_2009_IN","EDUCATION","4"
"http://essi-lod.org/instances/Section_FM_2009_IN","Aerosols and particles","4"
"http://essi-lod.org/instances/Section_FM_2009_IN","Metadata: Quality","4"
"http://essi-lod.org/instances/Section_FM_2009_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","4"
"http://essi-lod.org/instances/Section_MA_2010_IN","Interoperability","4"
"http://essi-lod.org/instances/Section_MA_2010_IN","Metadata","4"
"http://essi-lod.org/instances/Section_MA_2010_IN","Data analysis: algorithms and implementation","4"
"http://essi-lod.org/instances/Section_MA_2010_IN","International collaboration","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Numerical approximations and analysis","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Geoscience education research","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Teaching methods","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Numerical solutions","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Radiation: transmission and scattering","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Hydrology","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Atmosphere","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Instruments and techniques: monitoring","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Post-secondary education","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Seismicity and tectonics","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Tomography","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Climatology","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Oceans","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Sea ice","4"
"http://essi-lod.org/instances/Section_FM_2008_IN","Water management","4"
"http://essi-lod.org/instances/Section_SM_2008_IN","Geoscience education research","4"
"http://essi-lod.org/instances/Section_SM_2008_IN","ATMOSPHERIC COMPOSITION AND STRUCTURE","4"
"http://essi-lod.org/instances/Section_SM_2008_IN","Remote sensing","4"
"http://essi-lod.org/instances/Section_SM_2008_IN","Computational methods and data processing","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Scientific reasoning/inference","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Clouds and aerosols","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data sets","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Data assimilation","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Impacts of global change","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Land/atmosphere interactions","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Query languages for science, markup languages, ontologies","4"
"http://essi-lod.org/instances/Section_FM_2010_IN","Machine-to-machine communication","4"
